meal_description,carb,fat,energy,protein,country,serving_type
"I’ll eat 37 grams of fresh green cabbage, along with 149 grams of raw maize flour, 10 grams of fresh onion, and 34 grams of fresh tomato for lunch.",122.3,2.8000000000000003,569.0,11.8,ZMB,metric
"I ate 55 grams of boiled pinto beans for lunch, mixed with 122 grams of white maize flour, 9 grams of onion, 34 grams of tomato, and a ripe banana at 46 grams.",140.8,5.699999999999999,682.0,21.100000000000005,ZMB,metric
"For breakfast, I’m eating 40g of raw maize flour, a 146g plain bun, and 102g of fritters, along with 12g of dried groundnuts and both 19g of cane sugar and 60g of white sugar.",220.9,35.7,1277.0,22.4,ZMB,metric
"I just prepared a lunch with 24g of boiled kidney beans, 14g of raw groundnut powder, and 95g of white maize flour. I also added 4g of boiled onion, 28g of ripe tomato, and 23g of pumpkin leaves.",91.8,10.9,513.0,16.8,ZMB,metric
"For lunch today, I'm having 77g of maize flour, 20g of fresh boiled mushrooms, along with 2g of boiled onions. I also included another 2g of boiled onions, 28g of boiled tomatoes, 10g of boiled chicken, and 66g of roasted groundnuts.",75.60000000000001,37.2,697.0,24.3,ZMB,metric
"I just had 9 grams of groundnut powder and 7 grams of maize flour for lunch, along with 152 grams of a fruit drink and 133 grams of boiled yellow sweet potato.",43.4,4.8,233.0,5.6,ZMB,metric
"For breakfast, I ate 50 grams of groundnut powder, 39 grams of maize flour, 368 grams of ripe mango, and mixed in 20 grams of brown sugar.",120.7,27.200000000000003,741.0,17.400000000000002,ZMB,metric
"For lunch, I had 13g of dried kasepa fish, 82g of raw white maize flour breakfast meal, and 50g of unrefined roller meal. I also had 13g of fresh raw onion, 34g of fresh raw rape leaves, 45g of fresh ripe tomato, and 83g of raw sugarcane.",120.5,6.6,609.0,17.0,ZMB,metric
"This morning, I’m eating 119g of white maize flour, 39g of boiled beef, 78g of roasted groundnuts, and 234g of fresh boiled yellow sweet potato.",170.8,51.3,1266.0,41.9,ZMB,metric
"I enjoyed a snack that consisted of a 44g bun, 18g of raw brown sugar, and 29g of tea powder.",57.3,1.5,278.0,9.2,ZMB,metric
"I’ve got a lunch that includes 36g of white maize flour, 12g of fresh boiled Nile perch, and 9g of fried grasshoppers.",29.4,1.2999999999999998,169.0,9.2,ZMB,metric
"At lunch, I had a mix of 46g of boiled cowpeas, 21g of boiled kasepa fish, and 98g of raw maize flour. I topped it off with 14g of boiled onion, 29g of boiled rape leaves, and 77g of boiled ripe tomato.",112.4,7.2,628.0,28.7,ZMB,metric
I’m having a breakfast of 153 grams of boiled whole milk and 76 grams of boiled yellow sweet potato.,35.6,11.7,292.0,12.0,ZMB,metric
"I’m having a lunch that includes 68 grams of boiled cowpeas, 160 grams of white maize flour, plus 12 grams of raw boiled onion, 42 grams of boiled tomato, and 110 grams of dried groundnuts.",184.2,61.3,1443.0,55.9,ZMB,metric
"I’m having a lunch that includes 77 grams of maize flour, 8 grams of raw boiled onion, 31 grams of fresh boiled rape leaves, and 29 grams of boiled tomato. There’s a fried egg that weighs 30 grams and a piece of Nile perch fish that’s 49 grams.",64.30000000000001,7.300000000000001,395.0,19.7,ZMB,metric
"I had 15g of raw boiled cabbage, 28g of raw boiled maize flour, 4g of raw boiled onion, 13g of raw boiled tomato, and 88g of fried chicken thigh for dinner.",31.3,15.6,353.0,21.2,ZMB,metric
"For breakfast, I mixed 15 grams of powdered milk with 13 grams of sugar and had 85 grams of boiled sweet potato.",43.9,5.4,229.0,2.5,ZMB,metric
"For breakfast, I had 152g of raw maize flour, 14g of raw onion, 53g of boiled rape leaves, 48g of boiled ripe tomato, and 260g of boiled yellow sweet potato.",194.8,6.7,887.0,18.3,ZMB,metric
"For breakfast, I enjoyed 195 grams of fritters, 95 grams of boiled groundnuts, and 99 grams of boiled white maize. I also had 121 grams of fresh mango with the skin and 380 grams of brewed tea.",178.89999999999998,68.4,1402.0,28.3,ZMB,metric
"For lunch, I’m enjoying 95 grams of boiled white maize alongside 157 grams of fritters.",116.2,38.3,848.0,12.8,ZMB,metric
"For dinner, I had 28g of raw groundnut powder, 120g of boiled maize flour, 8g of boiled onion, 46g of boiled rape leaves, 26g of boiled ripe tomato, and 331g of fritters.",271.2,94.7,2033.0,34.5,ZMB,metric
"I ate a snack consisting of 86g of raw white maize flour, 8g of boiled onion, 30g of boiled rape leaves, and 27g of boiled tomato. Plus, I had a 104g banana, 108g of boiled medium-fat beef, and 17g of raw yellow sweet potato.",101.5,23.4,768.0,37.6,ZMB,metric
"I had a breakfast that consisted of 30 grams of raw groundnut powder, 23 grams of white maize flour, and a 108g dinner roll. I also ate 256g of fresh mango, added 32g of white sugar, and enjoyed 333g of brewed tea.",155.2,23.500000000000004,881.0,22.4,ZMB,metric
"For my snack, I mixed 46 grams of banana with 224 grams of sour milk and added 18 grams of brown sugar.",38.6,8.4,254.0,7.9,ZMB,metric
"For lunch today, I had 170g of raw maize flour, 3g of fresh onion, and 26g of ripe tomato. I also included 28g of fried Nile perch and 390g of boiled sweet potato.",236.1,7.399999999999999,1098.0,27.1,ZMB,metric
"For breakfast, I enjoyed 91 grams of unrefined white maize flour, a 4-gram serving of powdered fruit drink, and 338 grams of fresh boiled white sweet potato.",154.8,7.1,691.0,13.1,ZMB,metric
"For breakfast, I'm having a 107g plain bread bun with 7g of jam, 71g of boiled white maize samp, and 4g of raw sugar.",90.1,5.2,452.0,11.5,ZMB,metric
"For lunch, I enjoyed 135g of maize flour, some boiled chicken wings weighing 22g, 93g of roasted groundnuts, and a large fresh mango at 854g.",272.1,54.900000000000006,1652.0,41.2,ZMB,metric
"I have a 142g serving of unrefined maize flour, along with 4g of boiled onion, 35g of fresh boiled tomato, and 22g of boiled chicken drumstick for a snack.",111.0,7.899999999999999,566.0,15.7,ZMB,metric
"I had a snack that included 45g of fresh green cabbage, 190g of raw boiled maize flour, and 12g of fresh boiled onion. Plus, I added 41g of boiled tomato, 114g of boiled beef, and 46g of beef stock I made at home.",151.99999999999997,32.0,1063.0,44.6,ZMB,metric
"For lunch, I'm having 84 grams of raw white maize flour, 25 grams of boiled smoked tilapia, 41 grams of raw dried groundnuts, and 30 grams of roasted soybeans.",81.29999999999998,31.7,707.0,33.5,ZMB,metric
"Dinner consists of 40 grams of maize flour, 3 grams of boiled onion, 11 grams of fresh pumpkin leaves, and 10 grams of tomato. I also included 13 grams of dried rat and 199 grams of boiled sweet potato.",82.6,2.5,399.0,11.5,ZMB,metric
"I’m eating 138 grams of maize flour, along with 85 grams of boiled beef and 122 grams of roasted groundnuts. I also have 248 grams of whole milk and 27 grams of homemade beef stock for breakfast.",143.79999999999998,92.5,1624.0,68.8,ZMB,metric
"For breakfast, I ate 267 grams of fresh banana, 81 grams of baked wheat bread, drank 245 grams of diluted fruit drink, and had 247 grams of brewed tea.",131.29999999999998,3.5,568.0,9.3,ZMB,metric
"For tonight's dinner, I’ve got 18 grams of kapenta, 87 grams of maize flour, 5 grams of onion, 18 grams of tomato, and 32 grams of roasted ants.",72.00000000000001,20.4,582.0,26.5,ZMB,metric
"I’m eating lunch that includes 24 grams of boiled kapenta fish, 64 grams of white maize flour, 7 grams of boiled onion, 25 grams of boiled tomato, 67 grams of roasted groundnuts, and 364 grams of fresh mango.",128.70000000000002,40.7,961.0,32.7,ZMB,metric
"I prepared a lunch with 35 grams of unrefined maize flour, 5 grams of fresh onion, 18 grams of boiled rape leaves, 16 grams of boiled tomato, and 28 grams of fresh banana.",36.2,1.6,165.0,3.5,ZMB,metric
"I had a 222g ripe banana, 120g raw sugarcane, and 293g boiled white sweet potato for breakfast.",139.7,1.1,577.0,9.0,ZMB,metric
"For lunch, I had 28g of fresh raw amaranth leaves, 98g of raw white maize flour, 7g of a large raw onion, 26g of raw ripe tomato, and 485g of fresh ripe mango with skin.",162.89999999999998,3.5,691.0,10.6,ZMB,metric
I'm eating a dinner of 33g groundnut powder and 191g of boiled pumpkin.,17.7,16.4,237.0,10.4,ZMB,metric
"For breakfast, I'm having 82 grams of raw white maize flour fritters, 179 grams of fritters, 40 grams of dried raw groundnuts, and 171 grams of fresh ripe watermelon.",173.4,64.2,1337.0,26.3,ZMB,metric
"I'm eating 33g of raw boiled egg, 19g of dried fish, 56g of maize flour, 18g of onion, 48g of tomato, and finishing off with 18g of candy for dinner.",63.7,9.6,398.0,16.7,ZMB,metric
"This morning, I’m eating 50g of boiled whole egg, 53g of boiled maize flour, 17g of boiled onion, 41g of boiled tomato, and 72g of roasted groundnuts.",59.9,43.0,698.0,27.700000000000003,ZMB,metric
"For breakfast, I'm having 33 grams of fresh ripe mango without skin and 64 grams of raw white sweet potato with skin.",23.1,0.2,96.0,1.6,ZMB,metric
"I had a simple breakfast of 45 grams of boiled chicken egg, 233 grams of whole milk, and 15 grams of chicken soup. I sprinkled in 33 grams of raw brown sugar and enjoyed 65 grams of boiled yellow sweet potato.",74.69999999999999,22.8,589.0,23.3,ZMB,metric
Lunch today is 177 grams of refined bee honey.,145.8,0.0,538.0,0.5,ZMB,metric
"For lunch, I consumed 13 grams of onion that was boiled, 50 grams of fresh boiled rape leaves, 45 grams of boiled tomato, and a ripe banana weighing 52 grams.",19.9,0.7,84.0,2.8000000000000003,ZMB,metric
"Lunch consists of 13g of kasepa fish that’s boiled, 74g of raw white maize flour, 4g and 5g of boiled onions, 55g of boiled ripe tomatoes, 25g of boiled pork, and 40g of raw sugarcane.",65.2,9.1,410.0,17.7,ZMB,metric
"I had a simple breakfast with 19g of groundnut powder, 15g of white maize flour, 221g of mango, and 9g of raw brown sugar.",61.6,10.3,342.0,7.1,ZMB,metric
"For dinner, I'm having 10 grams of groundnut powder, 107 grams of maize flour, 3 grams of onion, 10 grams of tomato, 17 grams of pumpkin leaves, and a 29-gram boiled guinea fowl egg.",87.7,10.0,503.0,14.7,ZMB,metric
"For a snack, I'm having 244g of raw maize flour, along with 15g of boiled onion and 57g of boiled rape leaves. I also have 52g of boiled ripe tomato, 57g of boiled white sweet potato, and another 57g of boiled yellow sweet potato.",226.2,10.2,1051.0,21.7,ZMB,metric
"For a snack, I had 13 grams of raw groundnut powder, 60 grams of boiled maize flour, 4 grams of fresh raw onion, 12 grams of ripe fresh tomato, 22 grams of fresh pumpkin leaves, and 63 grams of white raw sugar.",114.0,7.6,552.0,8.6,ZMB,metric
"For dinner, I'm having 18 grams of raw groundnut powder and 43 grams of maize flour. I also have 5 grams of boiled onion, another 5 grams of boiled onion, and 30 grams of boiled rape leaves. There’s 61 grams of boiled tomato, 19 grams of boiled chicken wings, and 80 grams of dried roasted groundnuts.",59.6,53.89999999999999,802.0,32.7,ZMB,metric
"For a snack, I'm having 32g of raw white maize flour, 2g of raw boiled onion, 13g of raw boiled tomato, and 5g of boiled high-fat beef.",26.0,1.7000000000000002,136.0,3.7,ZMB,metric
"For lunch, I’m eating 22 grams of groundnut powder and 231 grams of maize flour that I've boiled. I also have 6 grams of boiled onion, 21 grams of boiled tomato, and 36 grams of boiled pumpkin leaves. I'm finishing it off with 89 grams of roasted groundnuts and 44 grams of boiled impwa.",206.2,64.2,1508.0,44.50000000000001,ZMB,metric
"For lunch today, I had 187g of raw maize flour, 21g of boiled chicken drumstick, 256g of ripe mango, and 35g of homemade chicken stock.",188.5,10.7,897.0,20.4,ZMB,metric
"For lunch, I’ve got 16 grams of groundnut powder, 93 grams of boiled maize flour, and 4 grams of fresh boiled onion. I also included 26 grams of boiled sweet potato leaves, 15 grams of boiled ripe tomato, and a ripe mango with skin that weighs 341 grams.",137.0,10.7,670.0,13.699999999999998,ZMB,metric
"For my lunch, I prepared 7 grams of boiled onion, 43 grams of cowpeas, 103 grams of maize flour, plus 27 grams of tomato, 223 grams of pumpkin, and 111 grams of sugarcane.",134.5,2.9000000000000004,637.0,20.200000000000003,ZMB,metric
"For breakfast, I'm having 31 grams of raw groundnut powder, boiled maize samp weighing 50 grams, and 130 grams of boiled yellow sweet potato with skin.",76.9,17.8,507.0,15.4,ZMB,metric
"For lunch, I had a combination of 59g of ripe banana, 92g of fresh boiled pumpkin, and 57g of boiled yellow sweet potato.",33.2,0.4,136.0,2.4,ZMB,metric
"I started my day with 23 grams of groundnut powder, 12 grams of maize flour, and 7 grams of fresh boiled onion. I added 38 grams of boiled rape leaves, 22 grams of ripe tomato, and topped it off with 27 grams of brown sugar and 278 grams of raw sugarcane.",81.69999999999999,12.1,454.0,10.1,ZMB,metric
"I just had 36g of unrefined maize flour, paired with 74g of fresh mango and 17g of raw sugar for breakfast.",42.5,1.6,187.0,3.0,ZMB,metric
"For my breakfast, I had 285 grams of roasted groundnuts, 278 grams of raw sugarcane, and 936 grams of boiled sweet potato with skin.",347.3,142.8,2884.0,88.9,ZMB,metric
"For my lunch, I’ve got 55g of fish, 153g and 139g of different types of maize flour, plus 17g of onion, 57g of tomato, and 36g of honey.",261.6,19.9,1395.0,44.60000000000001,ZMB,metric
"For dinner, I'm having 40g of raw white maize flour, 7g of boiled large onion, 25g of boiled fresh rape leaves, 23g of boiled ripe tomato, 8g of boiled chicken neck meat and skin, and 22g of boiled ripe red tomato.",35.8,3.2,188.0,5.7,ZMB,metric
"I’m having 41g of green cabbage, 147g of boiled maize flour, and 11g of raw onion for lunch. I also have 37g of boiled tomato, 45g of boiled dried bream fish, along with 417g of diluted fruit drink and a fresh orange that weighs 95g.",177.8,6.9,845.0,24.0,ZMB,metric
"For lunch, I have 263g of white maize flour, 1g of a large boiled onion, 17g of a ripe boiled tomato, and 43g of boiled goat or lamb liver.",210.2,8.5,1068.0,32.599999999999994,ZMB,metric
"For my dinner, I enjoyed 33g of boiled cowpeas, 138g of raw maize flour, 15g of boiled onion, 26g of boiled pumpkin leaves, 74g of boiled tomato, and 79g of roasted groundnuts.",155.1,46.6,1156.0,47.8,ZMB,metric
"I just prepared a dinner with 24 grams of fresh raw cabbage, 117 grams of raw maize flour, 7 grams of boiled onion, 22 grams of boiled tomato, 256 grams of ripe mango with skin, and 52 grams of roasted dried ants.",142.3,27.3,920.0,30.3,ZMB,metric
"For lunch, I had 26g of boiled Lusaka beans, 26g of boiled navy beans, 9g of boiled fresh green cabbage, 85g of boiled maize flour, 6g of boiled large bulb onion, 24g of boiled ripe tomato, 5g of raw margarine, 13g of raw white sugar, and 3g of raw blueband vegetable fat.",103.6,9.8,550.0,15.2,ZMB,metric
"For lunch, I had 57 grams of boiled navy beans, 108 grams of raw maize flour boiled, a large raw onion boiled (10 grams), 35 grams of ripe fresh tomato boiled, 19 grams of smoked dried Nile perch (boiled), 29 grams of home-prepared fish stock soup, and 196 grams of fresh raw sour milk to go with it.",128.60000000000002,12.5,742.0,33.1,ZMB,metric
"For lunch, I'm having 114g of raw maize flour breakfast meal, 7g of boiled large onion, another 2g of boiled large onion, 26g of boiled fresh pumpkin leaves, 41g of boiled ripe tomato, 147g of boiled bream fish, and 48g of raw in-shell groundnuts.",101.1,28.4,856.0,52.6,ZMB,metric
"Dinner consisted of 49g of boiled white beans, 103g of raw maize flour, 18g of boiled onion, 37g of fresh boiled rape leaves, and 64g of ripe boiled tomato.",116.5,4.9,572.0,20.6,ZMB,metric
"For my dinner, I prepared 20 grams of boiled kasepa fish, 82 grams of maize flour, 11 grams of onion, 20 grams of fresh boiled rape leaves, and 40 grams of boiled tomato.",67.7,7.5,390.0,15.4,ZMB,metric
"I enjoyed a 107g bun made from refined flour with 26 grams of jam and 31 grams of sugar, paired with 314 grams of brewed tea for breakfast.",103.9,3.5,479.0,8.2,ZMB,metric
"I’m having dinner with 29g of boiled Lusaka beans, 29g of white maize flour, 5g of onion, 18g of tomato, 86g of boiled rice, and 23g of sugar.",79.5,1.5,357.0,7.6,ZMB,metric
"For dinner, I had 54 grams of fresh raw cabbage, 15 grams of raw onion, and 228 grams of boiled sorghum flour. I also included 49 grams of fresh raw tomato and 69 grams of boiled bream fish.",176.5,8.899999999999999,871.0,41.5,ZMB,metric
"For lunch, I enjoyed 201 grams of boiled white maize samp.",77.0,4.8,378.0,9.6,ZMB,metric
"I ate 121 grams of maize flour and paired it with 9 grams of boiled onion, 34 grams of boiled sweet potato leaves, 31 grams of boiled tomato, and 427 grams of fresh mango for lunch.",172.6,3.7,746.0,12.7,ZMB,metric
"This morning, I made a breakfast with 30g of maize flour, 79g of groundnuts, and added 14g of raw sugar and 18g of brown sugar. I also had 199g of boiled yellow sweet potato and 147g of brewed tea.",126.3,40.0,925.0,25.1,ZMB,metric
"For dinner, I'm having 21 grams of raw groundnut powder, 82 grams of boiled maize flour, 6 grams of raw boiled onion, 36 grams of fresh boiled rape leaves, 20 grams of ripe fresh boiled tomato, and 29 grams of boiled tilapia fish.",71.49999999999999,14.4,475.0,20.2,ZMB,metric
"For lunch, I have 209 grams of raw maize flour, 8 grams of fresh raw onion, 26 grams of ripe fresh tomato, 75 grams of boiled wild rabbit meat, 212 grams of boiled mature pumpkin, and 28 grams of homemade beef stock.",173.1,11.099999999999998,938.0,41.6,ZMB,metric
"For lunch, I had 10g of boiled amaranth leaves, 15g of boiled cowpeas, and 37g of boiled groundnut powder. I also had 71g of raw maize flour, 20g of boiled millet flour, and 3g of raw onion. Additionally, I enjoyed 21g of boiled ripe tomato, 19g of boiled pumpkin leaves, 1g of boiled grasshoppers, and 67g of boiled groundnuts.",100.2,36.8,817.0,30.6,ZMB,metric
"For lunch, I’m eating 29g of raw white sweet potato and 58g of boiled yellow sweet potato, both with skin.",23.4,0.1,100.0,1.7999999999999998,ZMB,metric
"For lunch, I’m eating 27g of boiled cassava leaves, 89g of raw maize flour, 7g of boiled onion, 25g of boiled tomato, and 33g of ripe masuku.",78.2,4.199999999999999,375.0,8.799999999999997,ZMB,metric
"For lunch, I had 61g of boiled white navy beans, 57g of boiled fresh cowpea leaves, 42g of boiled dried kasepa fish, 34g of boiled groundnut powder, 247g of boiled white maize flour, 23g of boiled large onion, 115g of boiled ripe tomato, 90g of roasted groundnuts, and 390g of boiled yellow sweet potato with skin.",365.0,81.2,2461.0,90.7,ZMB,metric
"For lunch, I'm having 49g of boiled groundnut powder, 183g of boiled maize flour, 14g of raw boiled onion, 82g of boiled rape leaves, 47g of boiled tomato, 15g of boiled whole chicken egg, 120g of roasted dried groundnuts, and 24g of kasangole.",189.5,93.1,1734.0,59.0,ZMB,metric
I had a dinner consisting of 156g of unrefined white maize flour and 62g of fresh fried pork.,120.0,12.6,703.0,29.7,ZMB,metric
"For a light snack, I consumed 11g of raw groundnut powder, 90g of raw maize flour, 9g of boiled okra leaves, 17g of boiled tomato, and 74g of ripe mango without skin.",87.19999999999999,7.3,450.0,10.4,ZMB,metric
"I’m enjoying 53 grams of boiled chicken egg, 28g of roasted groundnuts, and 46g of fresh tomato for breakfast.",8.200000000000001,14.1,197.0,12.8,ZMB,metric
"My breakfast consisted of 10 grams of boiled onion, 43 grams of boiled white rice, and 37 grams of boiled tomato, along with 171 grams of ripe mango and 18 grams of brown sugar.",83.5,0.9,347.0,4.1,ZMB,metric
"I had a dinner plate with 128 grams of raw white maize flour, 7 grams of fresh boiled grasshoppers, 98 grams of dried raw groundnuts, and 265 grams of boiled yellow sweet potato still in its skin.",185.4,53.8,1333.0,41.8,ZMB,metric
"For breakfast, I'm having 83 grams of boiled whole raw milk, 523 grams of fresh ripe mango without skin, and 37 grams of raw sugar. I also have some powder tea (0 grams) on the side.",97.4,4.300000000000001,410.0,5.500000000000001,ZMB,metric
"For lunch, I had a mix of foods: 163g of boiled maize flour, 12g and 4g of boiled onion, 45g of boiled rape leaves, 71g of boiled tomato, a 292g plain dinner roll, and 56g of mixed boiled goat or lamb offals.",290.1,28.4,1653.0,57.8,ZMB,metric
"For lunch, my meal included 36g of boiled kidney beans, 67g of white maize flour, 6g of large boiled onion, 23g of ripe boiled tomato, and 59g of dried roasted groundnuts.",88.9,30.8,718.0,27.7,ZMB,metric
"For lunch, I’m having 51 grams of white maize flour, 7 grams of fresh boiled onion, 28 grams of boiled rape leaves, 26 grams of boiled tomato, and 65 grams of boiled white sweet potato.",60.0,2.4000000000000004,276.0,6.0,ZMB,metric
"For breakfast, I had 90g of boiled cowpeas, 290g of boiled maize flour, 14g of boiled onion, 56g of boiled ripe tomato, 154g of boiled groundnuts, and 309g of raw sugarcane.",360.2,40.7,2065.0,65.80000000000001,ZMB,metric
"So, my lunch included 20g of groundnut powder, 85g of maize flour, 6g of onion, 34g of rape leaves, 19g of tomato, and a big mango at 485g.",155.8,14.8,757.0,14.9,ZMB,metric
I ate 21g of unrefined white maize flour along with 113g of a fresh ripe banana for breakfast.,41.900000000000006,1.1,177.0,2.6,ZMB,metric
"For a quick snack, I prepared 25g of boiled kapenta fish, 2g of raw groundnut powder, and 93g of boiled maize flour. I also had 8g of boiled onion, 27g of boiled tomato, and 364g of ripe mango with its skin.",135.5,11.0,684.0,19.5,ZMB,metric
"For lunch, I had 70 grams of boiled cowpeas, 14 grams of boiled kasepa fish, and 194 grams of boiled maize flour. I also included 15 grams of fresh raw onion, 58 grams of fresh raw tomato, and 89 grams of ripe banana.",215.1,11.7,1083.0,37.4,ZMB,metric
"I’m having a dinner that consists of 12 grams of boiled navy beans, 72 grams of maize flour, 2 grams of boiled onion, 7 grams of boiled tomato, along with 86 grams of boiled bream fish and 45 grams of fish stock.",63.1,4.800000000000001,396.0,26.8,ZMB,metric
"Tonight's dinner includes 37g of boiled cowpeas, 47g of raw maize flour, 6g of boiled onion, and 23g of boiled tomato.",59.8,2.3,300.0,12.199999999999998,ZMB,metric
"For lunch, I had 70g of raw boiled green cabbage, 245g of raw boiled white maize flour, 19g of raw boiled onion, 64g of raw boiled ripe tomato, 14g of boiled smoked bubble fish, and 39g of home-prepared fish stock.",196.8,11.3,971.0,26.7,ZMB,metric
"For breakfast, I'm having 60g of raw groundnuts, 1047g of fresh ripe mango, and 223g of whole raw cow's milk.",197.7,40.0,1155.0,27.8,ZMB,metric
"For dinner, I had 64g of boiled cranberry beans, 165g of raw white maize flour breakfast meal, 11g of boiled large onion, 40g of boiled ripe tomato, and 171g of fresh ripe mango with skin.",200.9,4.4,945.0,28.1,ZMB,metric
"For lunch, I had 40g of boiled white navy beans, 40g of boiled pinto beans, 26g of boiled fresh onion, 73g of boiled rape leaves, and 92g of boiled ripe tomato.",62.5,1.6,337.0,21.5,ZMB,metric
"For lunch, I prepared 155g of maize flour, 7g of boiled onion, and 1g of another boiled onion. I added 28g of boiled rape leaves, 37g of boiled ripe tomato, 14g of boiled dried mintesa fish, and 80g of fried doughnut fritters.",164.9,24.8,941.0,19.7,ZMB,metric
"For lunch, I had 82g of boiled white navy beans, 28g of boiled groundnut powder, and 147g of boiled maize flour. I also enjoyed 187g of boiled white maize flour for breakfast, 22g of boiled fresh onion, 47g of boiled sweet potato leaves, 78g of boiled ripe tomato, 48g of ripe banana, 80g of dried groundnuts, and 34g of boiled rat.",350.29999999999995,64.6,2296.0,85.7,ZMB,metric
"I enjoyed a snack that included 12 grams of raw groundnut powder, 4 grams of boiled onion, 21 grams of boiled sweet potato leaves, 12 grams of boiled tomato, 16 grams of roasted beef, and 9 grams of boiled grasshoppers.",4.699999999999999,9.8,141.0,9.9,ZMB,metric
"This morning, I ate 60 grams of roasted dried termites or ants.",3.6,28.1,357.0,23.0,ZMB,metric
"For my lunch, I prepared 63g of boiled white beans, 24g of groundnut powder, and 71g of maize flour, along with 18g of boiled onion, 62g of boiled tomato, and 41g of boiled pumpkin leaves.",101.5,15.499999999999998,628.0,27.9,ZMB,metric
I’m snacking on 344 grams of fresh boiled groundnuts in shell.,73.3,75.7,1094.0,46.4,ZMB,metric
"For dinner, I had 91g of boiled cowpeas, 16g of boiled raw onion, and 56g of boiled ripe tomato.",58.3,1.3,322.0,22.1,ZMB,metric
"This morning, I ate 31 grams of boiled millet flour along with a 174g wheat bun, added 38 grams of brown sugar, and drank 352g of brewed tea.",149.5,7.0,730.0,16.599999999999998,ZMB,metric
"I'm eating lunch today with 32 grams of boiled kidney beans, 123 grams of raw white maize flour, 6 grams of boiled onion, 22 grams of boiled pumpkin leaves, 20 grams of boiled tomato, and 70 grams of fresh banana.",134.5,2.8000000000000003,633.0,18.4,ZMB,metric
"I’m snacking on 47g of boiled cowpeas, along with 152g of raw maize flour, 8g of fresh onion, 29g of boiled tomato, and 257g of raw sorghum cane.",180.3,6.9,854.0,23.4,ZMB,metric
"For lunch, I'm enjoying a 97-gram plain dinner roll with 5 grams of peanut butter, along with 30 grams of chico biscuits.",66.1,13.8,440.0,13.7,ZMB,metric
"I’m snacking on 21 grams of kapenta fish, 96g of white maize flour, and 6g of a large boiled onion. Plus, I have 11g of boiled tomato and 114g of boiled bubble fish.",74.8,7.4,482.0,30.0,ZMB,metric
"For breakfast, I'm having a meal that includes 51g of white maize flour, 20g of boiled bream fish, 15g of roasted groundnuts, and 38g of fish soup.",42.400000000000006,10.2,303.0,13.2,ZMB,metric
"For lunch, I'm having 14g of dried raw kasepa fish, 245g of boiled white maize flour, 68g of boiled fresh mushrooms, 12g of boiled fresh onion, 4g of boiled fresh onion, 86g of boiled ripe fresh tomato, and 27g of boiled chicken (unspecified part, without bone, meat & skin).",195.4,16.299999999999997,1032.0,32.4,ZMB,metric
"I just made a lunch with 60 grams of maize flour, 7 grams of boiled onion, 28 grams of boiled pumpkin leaves, and 26 grams of boiled tomato. I also included a ripe mango weighing 341 grams and 17 grams of boiled pork.",107.8,4.6,496.0,11.7,ZMB,metric
"I have 17 grams of chikanda powder, boiled, along with 23 grams of boiled groundnut powder, 59 grams of raw maize flour, and 75 grams of raw sugarcane for dinner.",63.8,13.9,404.0,10.9,ZMB,metric
