intent_type,nutritionist_prompt
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For dinner, I'm having a piece of cheese pizza with vegetables and another piece of just cheese pizza, both with medium crust."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_protein_support,The protein in this meal is 8.4g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For my snack, it’s 397.5g of coffee mixed with sugar and 3g of sugar cotton."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (14.25g carbs, 0.15g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
recommend_adjustment,This meal contains 599.4 kcal and 79.34g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_energy_appropriateness,This meal has 93.6 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_protein_support,The protein in this meal is 0.8g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For lunch, I consumed 5.9g of beef in mixed sauce, along with 66g of water, 57.5g of guava, 80.3g of glutinous rice, and a 20g snack from flour."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_protein_support,The protein in this meal is 8.69g. Is that adequate for a moderately active adult aiming to maintain lean mass?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I’m having a snack that includes a can of diet fruit-flavored soft drink, a cup of tap water, and a can of diet ginger ale."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
recommend_adjustment,This meal contains 1593.0 kcal and 142.5g of carbs. What adjustments would you recommend for someone aiming for weight control?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_protein_support,The protein in this meal is 2.86g. Is that adequate for a moderately active adult aiming to maintain lean mass?
recommend_adjustment,This meal contains 226.62 kcal and 34.03g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_macro_balance,"Review this meal: ""I'm snacking on some chocolate-covered coconut candy, about 47 grams, along with 42 grams of chocolate-covered fondant."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I have 360 grams of bottled water and a 166-gram hot dog sandwich with meatless chili on a white bun for lunch."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I have a 162-gram biscuit with egg and sausage for breakfast."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_energy_appropriateness,This meal has 195.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
recommend_adjustment,This meal contains 254.2 kcal and 65.72g of carbs. What adjustments would you recommend for someone aiming for weight control?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I'm enjoying a cup of tap water, a cup of 2% milk, and a bottle of unsweetened bottled water as a snack."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
ask_for_cultural_alternatives,"The patient is from LKA and frequently eats this: ""For lunch, I had a plate with 75 grams of cooked cabbage, 44 grams of an egg, and 225 grams of cooked white rice."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
request_macro_balance,"Review this meal: ""For dinner, I'm having a can of caffeine-free fruit-flavored soft drink, a small Mexican bolillo roll, and a cup of reduced-fat milk."". Can you identify if the macronutrient distribution is balanced or skewed?"
flag_risk_for_condition,"Given this nutrient profile (83.3g carbs, 17.4g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 9.81g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from TUN and frequently eats this: ""For dinner, I'm having 93.3g of barley soup with lamb and vegetable oil, a 27.9g lettuce salad with olive oil, 40.5g of raw potatoes, 180g of fresh watermelon pulp, and 50g of baguette bread."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_protein_support,The protein in this meal is 7.029999999999999g. Is that adequate for a moderately active adult aiming to maintain lean mass?
flag_risk_for_condition,"Given this nutrient profile (30.6g carbs, 26.89g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
recommend_adjustment,This meal contains 495.1 kcal and 39.72g of carbs. What adjustments would you recommend for someone aiming for weight control?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_protein_support,The protein in this meal is 16.49g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For my snack, I’m drinking 480 grams of higher alcohol beer."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 401.2 kcal and 0.34g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_energy_appropriateness,This meal has 82.5 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I have a chalupa with chicken and sour cream from Taco Bell and a medium burrito that has chicken, beans, rice, and sour cream for lunch."" to healthier options. Can you suggest a gradual behavior modification strategy?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I have a snack of 110 grams of french fries from a fast food place and a 70-gram grilled chicken fillet sandwich."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
ask_for_cultural_alternatives,"The patient is from KNA and frequently eats this: ""I just prepared a bowl of 217g of corn flakes and added 41g of evaporated milk for dinner, alongside 240g of spring water."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
flag_risk_for_condition,"Given this nutrient profile (20.34g carbs, 3.5g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 119.6g. Is that adequate for a moderately active adult aiming to maintain lean mass?
request_meal_analysis,"Can you analyze this meal: ""I made myself a large slice of Cuban bread and poured a cup of milk to go with it for breakfast."" with 27.44g carbs, 5.59g fat, 11.37g protein, and 206.04 kcal, and suggest whether it aligns with general dietary guidelines?"
recommend_adjustment,This meal contains 895.0 kcal and 129.9g of carbs. What adjustments would you recommend for someone aiming for weight control?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""Today for lunch, I ate 248 grams of boiled coffee beans with a bit of salt, along with 310 grams of corn bread and 194.9 grams of Ethiopian kale cooked in oil and onion."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 181.86 kcal and 30.53g of carbs. What adjustments would you recommend for someone aiming for weight control?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For a quick snack, I have 195g of boiled coffee beans with some salt and a slice of 37g corn bread."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
flag_risk_for_condition,"Given this nutrient profile (47.73g carbs, 0.0g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""This morning, I have a croissant that weighs 57 grams and 124 grams of fresh orange juice."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (31.5g carbs, 16.9g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I'm having a bottle of unsweetened bottled water and a cup of cooked fufu."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
query_protein_support,The protein in this meal is 1.87g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_protein_support,The protein in this meal is 22.21g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I ate a lunch that included a glass of tap water weighing 240 grams and a slice of thin crust pizza with meat from school, which was 142 grams."" to healthier options. Can you suggest a gradual behavior modification strategy?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For my snack, I have 57 grams of Skittles, a 372-gram bottle of root beer, and 57 grams of those cheesy corn snacks, Cheetos."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""As a snack, I have 744 grams of fruit juice drink packed with vitamin C and 507 grams of unsweetened bottled water."". Can you identify if the macronutrient distribution is balanced or skewed?"
recommend_adjustment,This meal contains 281.0 kcal and 47.870000000000005g of carbs. What adjustments would you recommend for someone aiming for weight control?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For lunch today, it's a cup of diced chicken breast that’s been baked or broiled, and I’m enjoying the skin."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For dinner, I’m having a cup of beef in tomato sauce with taco seasoning on cornbread and a 20 fl oz bottle of fruit-flavored soda."" to healthier options. Can you suggest a gradual behavior modification strategy?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got a breakfast spread that includes 50 grams of bread, 75 grams of coffee, a fried egg weighing 50 grams, a 170-gram chicken dog, and 5 grams of sugar."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_energy_appropriateness,This meal has 466.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_meal_analysis,"Can you analyze this meal: ""I'm snacking on a 75g vanilla ice cream sandwich along with 57g of cheese popcorn, 57g of plain chips, and a nice big 210g mango."" with 118.46g carbs, 47.94g fat, 13.87g protein, and 927.06 kcal, and suggest whether it aligns with general dietary guidelines?"
recommend_adjustment,This meal contains 623.12 kcal and 77.38g of carbs. What adjustments would you recommend for someone aiming for weight control?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got some whole wheat bread, about 44 grams, for a quick snack."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_macro_balance,"Review this meal: ""I’ve got one ice cream sandwich filled with vanilla and a cup of ready-to-drink low-fat chocolate milk for lunch."". Can you identify if the macronutrient distribution is balanced or skewed?"
request_macro_balance,"Review this meal: ""For breakfast, I'm having a low-fat cereal or granola bar that weighs 24 grams."". Can you identify if the macronutrient distribution is balanced or skewed?"
request_macro_balance,"Review this meal: ""For my snack, I'm enjoying a small chocolate cookie topped with icing and a regular white cupcake with filling."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_energy_appropriateness,This meal has 344.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_macro_balance,"Review this meal: ""I'm enjoying a 248-gram fruit-flavored drink alongside 132 grams of nachos with meat and cheese for dinner."". Can you identify if the macronutrient distribution is balanced or skewed?"
flag_risk_for_condition,"Given this nutrient profile (51.33g carbs, 1.61g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 12.9g. Is that adequate for a moderately active adult aiming to maintain lean mass?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For lunch, I had a mix of 42g of kale, 54g of spinach broth with oil, and 60g of whole maize flour ugali."" to healthier options. Can you suggest a gradual behavior modification strategy?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""Tonight's dinner is 250g of pasta with cream sauce, a 125g chocolate ice cream cone, and 248g of reduced sugar chocolate milk to drink."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_meal_analysis,"Can you analyze this meal: ""I've got a nonalcoholic malt beverage that's 360 grams for my snack."" with 28.98g carbs, 0.43g fat, 0.76g protein, and 133.2 kcal, and suggest whether it aligns with general dietary guidelines?"
query_energy_appropriateness,This meal has 348.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_protein_support,The protein in this meal is 1.36g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I’ve got a medium crust cheese pizza with veggies weighing 133 grams and a plain cheese pizza at 119 grams for dinner."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I drank a 252-gram ready-to-drink nutritional shake and 240 grams of bottled unsweetened water for a quick snack."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
query_energy_appropriateness,This meal has 255.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_macro_balance,"Review this meal: ""For breakfast, I'm having one apple turnover and a school container of 100% apple juice."". Can you identify if the macronutrient distribution is balanced or skewed?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""Lunch today includes one turkey hot dog."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_energy_appropriateness,This meal has 162.75 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_meal_analysis,"Can you analyze this meal: ""Breakfast today consists of a banana fritter weighing 160 grams and 50 grams of rice noodles."" with 87.50999999999999g carbs, 8.940000000000001g fat, 6.4g protein, and 457.0 kcal, and suggest whether it aligns with general dietary guidelines?"
query_protein_support,The protein in this meal is 11.05g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I’m enjoying a piece of ice cream cake as a snack right now."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
flag_risk_for_condition,"Given this nutrient profile (32.66g carbs, 20.79g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
ask_for_cultural_alternatives,"The patient is from GTM and frequently eats this: ""Having a snack that includes 101.1g of black beans with onions and soft cheese, 240g of maize tortilla, 16.4g of coffee substitute cereal, and a bit of 10g heavy whipping cream."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I had a breakfast of 66.2 grams of ghee chapatti, paired with 91 grams of buffalo milk tea, 87.9 grams of tomato chutney, and a yogurt drink that weighs 149.8 grams."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_macro_balance,"Review this meal: ""For a snack, I'm having an individual school container of 100% apple juice, an individual school carton of 100% orange juice, and a bottle of water."". Can you identify if the macronutrient distribution is balanced or skewed?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For dinner, I'm having 372 grams of a caffeine-free fruit-flavored soft drink along with 135 grams of fried chicken breast from a fast food place."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For my snack, I have a 20 fl oz cola, a cup of sweetened almond milk, and a 12 fl oz can of ginger ale."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
flag_risk_for_condition,"Given this nutrient profile (18.24g carbs, 8.23g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For dinner, I have a large order of fast food French fries, a small iced black tea that's pre-sweetened, and a Quarter Pounder with cheese from McDonald's."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""For a snack, it's just a can of diet cola and a small bag of potato chips."". Can you identify if the macronutrient distribution is balanced or skewed?"
recommend_adjustment,This meal contains 563.04 kcal and 82.28g of carbs. What adjustments would you recommend for someone aiming for weight control?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I'm snacking on some barbecue-flavored potato chips, 28 grams, and a raw banana weighing 126 grams."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For dinner, I had a 14.5g bun with 6g of egg jam, 10.25g of honey, and 5.47g of peanut butter. I also had 150g of unsweetened soybean milk, 289.57g of yam rice, and a 35g yau-car-kue fried bread dough stick."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (111.38g carbs, 26.41g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_meal_analysis,"Can you analyze this meal: ""I have a 12 fluid ounce can of ginger ale and a 16.9 fluid ounce bottle of water for my snack."" with 32.59g carbs, 0.0g fat, 0.0g protein, and 126.48 kcal, and suggest whether it aligns with general dietary guidelines?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I have 507 grams of water and 360 grams of vanilla ice cream for my snack."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_meal_analysis,"Can you analyze this meal: ""For my snack, I had 32g of baobab leaves and 18g of Jew's mallow leaves, both boiled. I included 53g of dehydrated maize flour with husks and seasoned it with 5g of potassium salt, 3g of iodised salt, and 1g of bouillon."" with 46.2g carbs, 2.3000000000000003g fat, 5.7g protein, and 221.0 kcal, and suggest whether it aligns with general dietary guidelines?"
flag_risk_for_condition,"Given this nutrient profile (95.6g carbs, 68.7g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 9.03g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_protein_support,The protein in this meal is 2.34g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from COD and frequently eats this: ""For dinner, I've got 22.9g of fried insect larvae, 0.2g of boiled onions, and a big bowl of 477g maize porridge. I added a touch of salt at 0.4g and some vegetable oil at 1.4g."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_energy_appropriateness,This meal has 583.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 120.02 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For brunch, I had a sandwich with regular peanut butter and jelly on wheat bread, a banana, and a 16 fl oz Rockstar energy drink."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
ask_for_cultural_alternatives,"The patient is from CRI and frequently eats this: ""For my snack, I’m eating 200g of fruit nectar made from pears, along with an 81.3g banana and a 36g cookie filled with chocolate."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
request_meal_analysis,"Can you analyze this meal: ""For lunch, I'm having 113 grams of regular applesauce, 248 grams of chocolate milk, and 88 grams of pizza with meat on a whole wheat thin crust."" with 73.89g carbs, 14.58g fat, 20.07g protein, and 497.32 kcal, and suggest whether it aligns with general dietary guidelines?"
flag_risk_for_condition,"Given this nutrient profile (19.12g carbs, 13.5g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_macro_balance,"Review this meal: ""For a snack, I'm having 992 grams of Gatorade G sports drink and 507 grams of tap water."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""Breakfast today is a biscuit with 120 grams of ham and some jelly, about 14 grams."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
flag_risk_for_condition,"Given this nutrient profile (30.28g carbs, 18.16g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_macro_balance,"Review this meal: ""For breakfast, I’m having 3.8 grams of dry instant rice cereal and 30.4 grams of Similac Sensitive infant formula."". Can you identify if the macronutrient distribution is balanced or skewed?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I ate one nutrition bar and drank a bottle of tap water for breakfast."" to healthier options. Can you suggest a gradual behavior modification strategy?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I've got a serving of macaroni and cheese from a mix, weighing 230 grams, and a glass of whole milk at 244 grams."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I’m eating a hot dog made from beef and pork that weighs 57 grams, served in a 43-gram soft white roll for lunch."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
flag_risk_for_condition,"Given this nutrient profile (111.38g carbs, 24.89g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I'm snacking on 15g of sweet biscuits and a 38.7g cereal bar filled with jam, and I have 500g of water with me."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_protein_support,The protein in this meal is 13.010000000000002g. Is that adequate for a moderately active adult aiming to maintain lean mass?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I’m enjoying a chocolate chip cookie that weighs 30 grams with 240 grams of tap water for a snack."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""I’ve got a serving of 57 grams of nacho cheese Doritos chips for dinner."". Can you identify if the macronutrient distribution is balanced or skewed?"
request_macro_balance,"Review this meal: ""For a snack, I'm having 372 grams of cola and a 30-gram brownie cookie without icing."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_protein_support,The protein in this meal is 0.0g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_protein_support,The protein in this meal is 11.02g. Is that adequate for a moderately active adult aiming to maintain lean mass?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""Tonight’s dinner is a hot dog on a white bun with chili, including a slice of American cheese and a tablespoon of mustard. I'm pairing it with a cup of tap water."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
recommend_adjustment,This meal contains 120.0 kcal and 0.47g of carbs. What adjustments would you recommend for someone aiming for weight control?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I'm having a burrito filled with meat, beans, and rice that weighs 297 grams, along with an iced latte that weighs 480 grams."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
recommend_adjustment,This meal contains 220.71 kcal and 40.4g of carbs. What adjustments would you recommend for someone aiming for weight control?
